App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C16_app281	<lb n="c56-0121__main__10"/>				
C16_app282	to draw destruction	to draw destruction	to draw destruction	to draw destruction	to draw destruction
C16_app283		upon	upon	upon	upon
C16_app284	the head of the	the head of the	the head of the	the head of the	the head of the
C16_app285	<lb n="c56-0121__main__11"/>				
C16_app286	speaker. The pines	speaker. The pines	speaker. The pines	speaker. The pines	speaker. The pines
C16_app287	here				
C16_app288	are not	are not	are not	are not	are not
C16_app289	<lb n="c56-0121__main__12"/>				
C16_app290	tall or	tall or	tall or	tall or	tall or
C16_app291	luxuriant	luxuriant,	luxuriant,	luxuriant,	luxuriant,
C16_app292	but they are	but they are	but they are	but they are	but they are
C16_app293	sombre <lb n="c56-0121__main__13"/>	sombre,	sombre,	sombre,	sombre,
C16_app294	and add an air of	and add an air of	and add an air of	and add an air of	and add an air of
C16_app295	<del rend="strikethrough" sID="c56-0121__main__d2e25597"/>gravit<del eID="c56-0121__main__d2e25597"/><mdel>y</mdel>severity	severity	severity	severity	severity
C16_app296	to the scene.	to the scene.	to the scene.	to the scene.	to the scene.
C16_app297	<lb n="c56-0121__main__14"/>				
C16_app298	I looked on the valley	I looked on the valley	I looked on the valley	I looked on the valley	I looked on the valley
C16_app299	beneath.;	beneath;	beneath;	beneath;	beneath;
C16_app300	Vast	vast	vast	vast	vast
C16_app301	mist <lb n="c56-0121__main__15"/>	mists	mists	mists	mists
C16_app302	were rising from the	were rising from the	were rising from the	were rising from the	were rising from the
C16_app303	river	rivers	rivers	rivers	rivers
C16_app304	which ran	which ran	which ran	which ran	which ran
C16_app305	<lb n="c56-0121__main__16"/> through<del rend="strikethrough" sID="c56-0121__main__d2e25616"/>t<del eID="c56-0121__main__d2e25616"/><metamark function="insert">^</metamark>it	through it,	through it,	through it,	through it,
C16_app306	and curling in thick wreaths	and curling in thick wreaths	and curling in thick wreaths	and curling in thick wreaths	and curling in thick wreaths
C16_app307	<lb n="c56-0121__main__17"/>				
C16_app308	around the	around the	around the	around the	around the
C16_app309	opposite	oppo<pb n="020" xml:id="F1818_v2_024"/>site	oppo<pb n="020" xml:id="F1818_v2_024"/>site	oppo<pb n="201" xml:id="F1823_v1_220"/>site	opposite
C16_app310	mountains <lb n="c56-0121__main__18"/>	mountains,	mountains,	mountains,	mountains,
C16_app311	whose summits were hid in the <lb n="c56-0121__main__19"/><lb n="c56-0121__left_margin__1"/>uniform clouds, while rain poured from the	whose summits were hid in the uniform clouds, while rain poured from the	whose summits were hid in the uniform clouds, while rain poured from the	whose summits were hid in the uniform clouds, while rain poured from the	whose summits were hid in the uniform clouds, while rain poured from the
C16_app312	<lb n="c56-0121__main__20"/>				
C16_app313	dark	dark	dark	dark	dark
C16_app314	sky	sky,	sky,	sky,	sky,
C16_app315	and added to the melancholy	and added to the melancholy	and added to the melancholy	and added to the melancholy	and added to the melancholy
C16_app316	<lb n="c56-0121__main__21"/>				
C16_app317	impression I received from the objects	impression I received from the objects	impression I received from the objects	impression I received from the objects	impression I received from the objects
C16_app318	<lb n="c56-0121__main__22"/>				
C16_app319	around	around	around	around	around
C16_app320	me —	me.	me.	me.	me.
C16_app321	Alas!	Alas!	Alas!	Alas!	Alas!
C16_app322	<del rend="strikethrough" sID="c56-0121__main__d2e25655"/>who can boast<del eID="c56-0121__main__d2e25655"/>				
